"Nozzle","Payload","WSpeed.Measured","TemperatureC","RelHumidity","TrayUpwind","Tray0m","TrayDownwind","TrayTotal"
"XR11001",2,325,23,65.1,50,90,30,170
"XR11001",2,315,25.2,64.2,70,100,22,192
"XR11001",2,304,26.8,62.6,55,87,47,189
"TT11001",2,591,30,46.4,9,100,16,125
"TT11001",2,590,30.7,45.6,7,105,32,144
"TT11001",2,582,30.9,43.8,16,105,28,149
"XR11001",2,855,28,70,43,23,105,171
"XR11001",2,890,28.6,68.4,3,7,46,56
"XR11001",2,878,31.4,52.6,1,0.5,3,4.5
"TT11001",2,312,30.7,54,80,110,23,213
"TT11001",2,308,30.9,51.1,120,110,20,250
"TT11001",2,303,31.3,50.3,120,100,7,227
"XR11001",2,591,31.6,48.9,2,43,33,78
"XR11001",2,584,32.1,46,0.5,2,15,17.5
"XR11001",2,582,32.2,46.8,0.5,40,50,90.5
"TT11001",2,856,33,45.9,0.5,45,53,98.5
"TT11001",2,861,32.9,43.6,0.5,27,46,73.5
"TT11001",2,852,33.1,44.1,0.5,22,46,68.5
"TT11001",10,912,25,78,1,50,80,131
"TT11001",10,916,25.2,78.5,1,70,90,161
"TT11001",10,909,26.4,72.6,1,39,80,120
"XR11001",10,905,26.7,70.5,0,13,60,73
"XR11001",10,898,27.3,68.6,0,6,59,65
"XR11001",10,888,27.8,67,0,10,55,65
"TT11001",10,322,27.7,67.8,140,130,31,301
"TT11001",10,322,27.9,64.8,130,110,28,268
"TT11001",10,319,28.7,64.3,130,140,39,309
"XR11001",10,317,30.5,60.6,70,80,41,191
"XR11001",10,309,31,57.9,80,65,12,157
"XR11001",10,303,31.4,58,80,70,40,190
"TT11001",10,602,31.7,54.9,55,110,50,215
"TT11001",10,602,32.1,55.4,55,105,50,210
"TT11001",10,600,31.4,57.7,40,100,75,215
"Lechler IDK 110-04",2,325,22.5,91.3,170,170,45,385
"Lechler IDK 110-04",2,326,22.8,90.3,182,195,80,457
"Lechler IDK 110-04",2,330,23,89.5,170,190,75,435
"Lechler IDK 110-04",2,626,23.6,87.7,55,150,110,315
"Lechler IDK 110-04",2,629,23.9,86.5,40,140,100,280
"Lechler IDK 110-04",2,620,24.1,86.3,40,140,120,300
"Lechler IDK 110-04",2,916,24.8,83.9,7,110,110,227
"Lechler IDK 110-04",2,915,25.1,83.2,6,110,100,216
"Lechler IDK 110-04",2,917,25,83.7,5,110,100,215
"Lechler IDK 110-04",10,596,27.2,74.9,60,85,95,240
"Lechler IDK 110-04",10,607,28,71.7,60,85,105,250
"Lechler IDK 110-04",10,603,28.5,67.7,40,120,95,255
"Lechler IDK 110-04",10,312,28.5,68.5,165,155,50,370
"Lechler IDK 110-04",10,311,29,66.9,165,160,80,405
"Lechler IDK 110-04",10,306,29.2,63.9,150,150,40,340
"Lechler IDK 110-04",10,894,30.5,60.9,5.5,65,70,140.5
"Lechler IDK 110-04",10,891,30.8,61,3.5,80,70,153.5
"Lechler IDK 110-04",10,884,31.1,58.6,5,80,60,145
"XR11001",10,590,31.3,57.5,1.5,55,75,131.5
"XR11001",10,600,30.9,57.4,3,65,85,153
"XR11001",10,595,31.3,55.2,6.5,65,90,161.5
